File,k,Ratio,Audio MSE,Audio PSNR,Audio SNR,Rate(kBps),Image Size,Status
mbjv0_sx257.wav,8,4:2:0,9344.91101,50.6,7.44,10.34,256x256 (4:2:0),Success
mdhl0_si1439.wav,8,4:2:0,4290.6153,53.98,18.4,5.0,256x256 (4:2:0),Success
fsma0_si1621.wav,8,4:2:0,8797.54715,50.87,13.56,10.27,256x256 (4:2:0),Success
flnh0_sa1.wav,8,4:2:0,3058.32801,55.45,12.1,3.49,256x256 (4:2:0),Success
mrms1_sa1.wav,8,4:2:0,2247.77554,56.79,19.93,2.75,256x256 (4:2:0),Success
mdls0_sx188.wav,8,4:2:0,5809.4003,52.67,22.33,6.97,256x256 (4:2:0),Success
fsdc0_sx232.wav,8,4:2:0,5304.72103,53.06,11.39,5.92,256x256 (4:2:0),Success
fjlg0_sx449.wav,8,4:2:0,3483.39588,54.89,16.53,4.07,256x256 (4:2:0),Success
fexm0_sx111.wav,8,4:2:0,7418.9032,51.61,18.38,7.79,256x256 (4:2:0),Success
mlll0_sx193.wav,8,4:2:0,2583.97248,56.19,29.77,2.83,256x256 (4:2:0),Success
fjwb0_sx95.wav,8,4:2:0,6076.36185,52.47,10.03,6.77,256x256 (4:2:0),Success
mjrp0_sa2.wav,8,4:2:0,5511.61205,52.9,15.14,6.5,256x256 (4:2:0),Success
fcdr1_sx16.wav,8,4:2:0,5236.08964,53.12,11.32,6.38,256x256 (4:2:0),Success
fvkb0_sx79.wav,8,4:2:0,5706.05157,52.75,12.04,6.13,256x256 (4:2:0),Success
mjmd0_sx128.wav,8,4:2:0,7316.58517,51.67,9.42,8.06,256x256 (4:2:0),Success
mjdh0_sx184.wav,8,4:2:0,4437.12827,53.84,16.13,5.02,256x256 (4:2:0),Success
ftbw0_sx265.wav,8,4:2:0,3437.26765,54.95,16.76,3.93,256x256 (4:2:0),Success
mpgr1_sa2.wav,8,4:2:0,3515.04331,54.85,19.75,4.27,256x256 (4:2:0),Success
fapb0_sa2.wav,8,4:2:0,5726.53129,52.73,12.23,6.49,256x256 (4:2:0),Success
fnlp0_sx48.wav,8,4:2:0,3569.64117,54.78,19.36,4.0,256x256 (4:2:0),Success
fskp0_sx288.wav,8,4:2:0,7684.06467,51.45,19.94,9.75,256x256 (4:2:0),Success
mcdc0_si1292.wav,8,4:2:0,4923.54528,53.39,17.25,5.77,256x256 (4:2:0),Success
mkdb0_sx422.wav,8,4:2:0,2580.30096,56.19,10.51,3.03,256x256 (4:2:0),Success
mbom0_sa1.wav,8,4:2:0,3493.09786,54.88,16.55,4.31,256x256 (4:2:0),Success
fcrh0_sa1.wav,8,4:2:0,3543.57833,54.81,18.81,3.94,256x256 (4:2:0),Success
mjmp0_sx275.wav,8,4:2:0,4340.54208,53.93,18.2,5.26,256x256 (4:2:0),Success
mgmm0_sa2.wav,8,4:2:0,7504.9434,51.56,7.99,7.85,256x256 (4:2:0),Success
mrkm0_sx97.wav,8,4:2:0,4377.67371,53.9,17.16,5.14,256x256 (4:2:0),Success
mses0_sx239.wav,8,4:2:0,4865.77854,53.44,9.85,5.15,256x256 (4:2:0),Success
mtpf0_sx155.wav,8,4:2:0,4433.14435,53.84,14.58,4.9,256x256 (4:2:0),Success
mpeb0_sx60.wav,8,4:2:0,3129.42309,55.35,19.22,3.52,256x256 (4:2:0),Success
mfwk0_sx259.wav,8,4:2:0,3842.08408,54.46,19.15,4.47,256x256 (4:2:0),Success
fsrh0_sx401.wav,8,4:2:0,3520.52732,54.84,17.64,3.86,256x256 (4:2:0),Success
ftbr0_sx111.wav,8,4:2:0,3917.61485,54.38,12.39,4.34,256x256 (4:2:0),Success
fmju0_sx39.wav,8,4:2:0,4692.66465,53.59,10.76,4.95,256x256 (4:2:0),Success
mtml0_sx75.wav,8,4:2:0,4606.43839,53.68,16.33,4.78,256x256 (4:2:0),Success
mjde0_sx220.wav,8,4:2:0,1944.08886,57.42,22.27,2.26,256x256 (4:2:0),Success
mrms1_si2117.wav,8,4:2:0,3369.97696,55.03,16.54,4.08,256x256 (4:2:0),Success
mkxl0_sx15.wav,8,4:2:0,4328.40399,53.95,14.7,5.38,256x256 (4:2:0),Success
frng0_si1355.wav,8,4:2:0,3129.85511,55.35,24.2,3.82,256x256 (4:2:0),Success
mdld0_sa2.wav,8,4:2:0,7754.31755,51.41,18.56,8.54,256x256 (4:2:0),Success
fmah1_sx429.wav,8,4:2:0,6152.43546,52.42,16.87,7.16,256x256 (4:2:0),Success
mwgr0_si1606.wav,8,4:2:0,7869.74995,51.35,11.62,8.81,256x256 (4:2:0),Success
fcrh0_si458.wav,8,4:2:0,4254.7782,54.02,17.18,4.5,256x256 (4:2:0),Success
